ID,Start time,Completion time,Email,Name,Which gender are you?,Which age bracket do you fall into?,What’s your employment status?,What’s your highest educational level?,What's your monthly income level?,Which digital marketing channels do you most frequently use to seek information about tech repair services? (Select all that apply),Have you heard of a tech repair company called GAMP?,Have you ever purchased or booked a service with GAMP Technology Limited directly through their digital marketing channels?,"If yes, what motivated you to purchase or book a service through their digital marketing channels?",How often do you encounter digital marketing content related to tech repair services from GAMP Technology Limited?,Which digital marketing channel do you find most informative or influential when seeking information about tech repair services?,How likely are you to engage with digital marketing content from GAMP Technology Limited on social media platforms?,Do you trust the digital marketing content from GAMP Technology Limited to provide accurate information about their tech repair services?,Have you ever been influenced by digital marketing campaigns to seek tech repair services from GAMP Technology Limited?,"On a scale of 1 to 5, how would you rate the influence of digital marketing campaigns on your decision to seek tech repair services from GAMP Technology Limited?
",How often do you click on digital advertisements from GAMP Technology Limited to learn more about their services?,Which aspect of GAMP Technology Limited's digital marketing campaigns appeals to you the most when considering their tech repair services? (Select all that apply),How likely are you to recommend GAMP Technology Limited to others based on the effectiveness of their digital marketing campaigns?,How do you perceive GAMP Technology Limited's digital marketing campaigns compared to their known competitors (such as Carlcare) or less-known repairers?,How did you become aware of GAMP Technology Limited? (Select all that apply),"On a scale of 1 to 5, how satisfied are you with the consistency of GAMP Technology Limited's digital marketing efforts?",How frequently do you engage with GAMP Technology Limited's digital marketing content?,What factors contribute to your continued engagement and loyalty to GAMP Technology Limited? (Select all that apply),How likely are you to switch to a known competitor (Carlcare) or less-known repairers if you find their digital marketing efforts more appealing than those of GAMP Technology Limited?,Are there any services that GAMP Technology Limited does not provide right now and should provide?,How else can GAMP Technology Limited improve on its digital marketing efforts to serve you better?
105,5/29/24 10:19:10,5/29/24 10:21:42,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,3,Never,"Interactive features (polls, quizzes, etc.);",Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Reliability of service;Quality of service;,Neutral,Not sure,Not sure 
106,5/29/24 12:05:24,5/29/24 12:13:32,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Agree,No,3,Never,"Wide online reach;Interactive features (polls, quizzes, etc.);Informative content;",Often,Superior,Through WhatsApp/Telegram/Discord communities;Through recommendations from friends or family;,4 (Satisfied),Occasionally,Customer service experience;,Unlikely,Not sure for now ,Not that I can recommend 
107,5/29/24 12:12:39,5/29/24 12:22:25,anonymous,,Male,18-24,Unemployed,Vocational/Technical Training,"Below ?50,000",Expert (Tech/Gadget sales) platforms;WhatsApp/Telegram/Discord communities;,"No, I have not",No,None of the above,Rarely or Never,WhatsApp/Telegram/Discord Communities,Never,Strongly Disagree,No,1,Never,"Interactive features (polls, quizzes, etc.);Promotional offers;Appealing visuals and designs;Wide online reach;Informative content;Company credibility;",Never,Inferior,"Through social media advertisements;Through search engine results;Through email communication;Through recommendations from friends or family;Through advertising on websites;Through offline advertising (billboards, flyers, etc.);Through expert (tech/gadget sales) platforms;Through WhatsApp/Telegram/Discord communities;",1 (Very Dissatisfied),Never,Convenience of booking or purchasing process;Brand reputation;Customer service experience;Discounts or promotions offered;Credibility of digital marketing campaigns;Reliability of service;Quality of service;,Very likely,N\A,N\A
108,5/29/24 16:57:40,5/29/24 17:03:42,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,3,Never,Company credibility;Informative content;,Often,Not sure,Through social media advertisements;Through search engine results;,4 (Satisfied),Occasionally,Convenience of booking or purchasing process;Discounts or promotions offered;,Neutral,None that I know of,None that I know of
109,5/29/24 17:56:40,5/29/24 18:00:21,anonymous,,Female,18-24,Student,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",Yes,Ease of booking or purchasing process,A few times a week,Search engines,Sometimes,Neutral,Yes,3,Occasionally,Informative content;,Sometimes,Not sure,Through social media advertisements;Through recommendations from friends or family;,4 (Satisfied),Rarely,Credibility of digital marketing campaigns;,Neutral,I have no idea,Nil
110,5/29/24 22:18:32,5/29/24 22:23:18,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000","Expert (Tech/Gadget sales) platforms;Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Clear and informative content,A few times a week,Search engines,Sometimes,Neutral,No,1,Never,Informative content;,Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Quality of service;,Neutral,Not sure,Neutral 
111,5/31/24 17:47:14,5/31/24 17:50:18,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,5,Never,Wide online reach;,Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Quality of service;,Neutral,I don’t know ,No idea
112,5/31/24 17:46:52,5/31/24 17:52:42,anonymous,,Male,18-24,Part-time,Bachelor's degree,"?50,001 - ?100,000",WhatsApp/Telegram/Discord communities;,"No, I have not",No,None of the above,Rarely or Never,WhatsApp/Telegram/Discord Communities,Sometimes,Neutral,No,1,Never,Company credibility;,Often,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Reliability of service;,Likely,Not sure,Not sure
113,5/31/24 17:52:31,5/31/24 17:56:39,anonymous,,Male,18-24,Self-employed,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Rarely,Not sure,Through recommendations from friends or family;,3 (Not sure),Occasionally,Reliability of service;Customer service experience;,Very likely,Laptop repairs,More Ads
114,5/31/24 17:56:21,5/31/24 17:59:57,anonymous,,Female,18-24,Part-time,Master's degree or higher,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Never,Strongly Disagree,No,1,Never,Company credibility;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Brand reputation;,Neutral,nil,expand their reach
115,5/31/24 17:59:33,5/31/24 18:05:58,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Always,Neutral,No,1,Rarely,Informative content;,Sometimes,Similar,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Occasionally,Credibility of digital marketing campaigns;,Unlikely,Nil,Nil
116,6/1/24 13:42:08,6/1/24 13:45:29,anonymous,,Female,18-24,Student,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,A few times a week,Social media platforms,Sometimes,Agree,No,3,Rarely,"Interactive features (polls, quizzes, etc.);",Rarely,Superior,Through social media advertisements;,3 (Not sure),Rarely,Brand reputation;,Likely,Nil,Nil
117,6/1/24 15:12:51,6/1/24 15:15:07,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Ease of booking or purchasing process,Rarely or Never,Social media platforms,Never,Neutral,No,5,Never,"Interactive features (polls, quizzes, etc.);",Never,Not sure,Through WhatsApp/Telegram/Discord communities;,5 (Very Satisfied),Always,Brand reputation;,Very likely,None ,None
118,6/1/24 15:50:34,6/1/24 15:53:29,anonymous,,Female,18-24,Student,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,3,Rarely,Wide online reach;,Rarely,Similar,Through search engine results;,3 (Not sure),Rarely,Brand reputation;Quality of service;,Neutral,I haven’t used it,Love itt
119,6/2/24 9:35:52,6/2/24 9:41:22,anonymous,,Female,25-34,Full-time,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,2,Rarely,Promotional offers;Informative content;Company credibility;,Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Quality of service;Reliability of service;Customer service experience;Brand reputation;Convenience of booking or purchasing process;Discounts or promotions offered;,Very likely,No idea,No idea
120,6/2/24 22:50:54,6/2/24 22:53:53,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",Yes,Positive reviews or testimonials,A few times a week,Search engines,Often,Agree,No,3,Occasionally,Informative content;,Often,Superior,Through recommendations from friends or family;,4 (Satisfied),Occasionally,Brand reputation;,Unlikely,Nil,I don’t have any contribution for now
121,6/4/24 11:49:44,6/4/24 11:53:11,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;Expert (Tech/Gadget sales) platforms;WhatsApp/Telegram/Discord communities;","Yes, I have",No,None of the above,A few times a week,Social media platforms,Always,Strongly Agree,Yes,4,Occasionally,Appealing visuals and designs;Promotional offers;Company credibility;,Always,Superior,Through social media advertisements;Through recommendations from friends or family;Through advertising on websites;,4 (Satisfied),Frequently,Quality of service;Reliability of service;Credibility of digital marketing campaigns;Discounts or promotions offered;Customer service experience;Brand reputation;Convenience of booking or purchasing process;,Neutral,None that I know of,More advert been out on their brand
122,6/4/24 11:49:05,6/4/24 11:54:04,anonymous,,Female,18-24,Student,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,5,Never,Informative content;,Always,Incomparable,Through social media advertisements;,4 (Satisfied),Never,Reliability of service;Quality of service;Credibility of digital marketing campaigns;Customer service experience;Brand reputation;Convenience of booking or purchasing process;Discounts or promotions offered;,Unlikely,None,None
123,6/4/24 11:48:27,6/4/24 11:54:11,anonymous,,Female,18-24,Student,High school or equivalent,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Disagree,No,1,Never,"Interactive features (polls, quizzes, etc.);Informative content;",Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Quality of service;Reliability of service;,Neutral,Nil,Brand awareness
124,6/4/24 11:55:54,6/4/24 11:59:20,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,1,Never,Promotional offers;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Discounts or promotions offered;,Neutral,"I can’t think of any, as I do not know this brand ",Same as above
125,6/4/24 11:59:52,6/4/24 12:03:55,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,2,Occasionally,Informative content;Appealing visuals and designs;Promotional offers;,Rarely,Similar,Through social media advertisements;Through email communication;Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Occasionally,Discounts or promotions offered;Credibility of digital marketing campaigns;,Likely,Yes software development ,Communicating more 
126,6/4/24 12:02:44,6/4/24 12:06:49,anonymous,,Female,18-24,Part-time,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Rarely,Promotional offers;,Rarely,Similar,Through social media advertisements;,3 (Not sure),Rarely,Brand reputation;,Likely,.,.
127,6/4/24 11:58:41,6/4/24 12:10:05,anonymous,,Male,25-34,Self-employed,Bachelor's degree,"Above ?500,000",WhatsApp/Telegram/Discord communities;,"Yes, I have",Yes,Positive reviews or testimonials,Several times a day,WhatsApp/Telegram/Discord Communities,Often,Strongly Agree,Yes,5,Always,Promotional offers;,Always,Superior,Through advertising on websites;,4 (Satisfied),Always,Quality of service;,Likely,More programs,More of programs
128,6/4/24 12:11:34,6/4/24 12:15:03,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000",Expert (Tech/Gadget sales) platforms;,"No, I have not",No,None of the above,Once a week,Search engines,Sometimes,Neutral,No,4,Never,Promotional offers;,Sometimes,Similar,Through WhatsApp/Telegram/Discord communities;,4 (Satisfied),Occasionally,Customer service experience;,Neutral,Trainings,More promotional offers
129,6/4/24 12:37:32,6/4/24 12:41:42,anonymous,,Female,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Rarely,Promotional offers;,Often,Not sure,Through social media advertisements;,4 (Satisfied),Rarely,Brand reputation;,Unlikely,N/A,N/A
130,6/4/24 13:09:33,6/4/24 13:25:48,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Search engines,Sometimes,Strongly Agree,No,3,Rarely,"Interactive features (polls, quizzes, etc.);",Always,Superior,Through social media advertisements;,4 (Satisfied),Rarely,Reliability of service;,Likely,No,No recommendations
131,6/4/24 13:46:42,6/4/24 13:56:37,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,1,Never,Appealing visuals and designs;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Quality of service;Reliability of service;Credibility of digital marketing campaigns;Discounts or promotions offered;Customer service experience;Brand reputation;Convenience of booking or purchasing process;,Neutral,I have never heard of GAMP till now,I could not say
132,6/4/24 13:55:49,6/4/24 14:14:03,anonymous,,Female,35-44,Full-time,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Never,Neutral,No,1,Never,Promotional offers;,Rarely,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Discounts or promotions offered;,Very likely,More discounts and promotionals for customers,Top notch quality services at lower costs
133,6/5/24 7:30:14,6/5/24 7:39:14,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000",Expert (Tech/Gadget sales) platforms;,"No, I have not",No,None of the above,Rarely or Never,Advertising on Websites,Never,Disagree,No,1,Never,"Interactive features (polls, quizzes, etc.);",Rarely,Not sure,Through social media advertisements;,3 (Not sure),Never,Convenience of booking or purchasing process;,Very likely,Don't really know them,I have no idea of what they do
134,6/5/24 7:41:54,6/5/24 7:45:43,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,A few times a week,Social media platforms,Often,Agree,Yes,4,Frequently,Informative content;,Always,Superior,Through social media advertisements;,4 (Satisfied),Frequently,Credibility of digital marketing campaigns;,Likely,I’m not sure,I’m not sure
135,6/5/24 7:34:41,6/5/24 7:46:31,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Search engines,Never,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Convenience of booking or purchasing process;,Neutral,N/A,N/A
136,6/5/24 8:07:14,6/5/24 8:10:53,anonymous,,Male,18-24,Student,High school or equivalent,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,A few times a week,Social media platforms,Sometimes,Neutral,No,1,Never,Informative content;Wide online reach;,Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Occasionally,Customer service experience;,Neutral,No,Nothing 
137,6/5/24 8:09:32,6/5/24 8:12:31,anonymous,,Female,25-34,Full-time,Master's degree or higher,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Email Communication;","Yes, I have",Yes,Clear and informative content,Rarely or Never,Social media platforms,Sometimes,Neutral,No,1,Occasionally,Informative content;,Often,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Reliability of service;,Very unlikely,Not sure,Not sure 
138,6/5/24 8:21:45,6/5/24 8:23:57,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,WhatsApp/Telegram/Discord Communities,Never,Strongly Agree,Yes,3,Occasionally,Company credibility;,Sometimes,Similar,Through social media advertisements;,4 (Satisfied),Rarely,Reliability of service;,Unlikely,None,None.  
139,6/5/24 8:18:36,6/5/24 8:25:15,anonymous,,Male,18-24,Student,High school or equivalent,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Email Communication;","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,2,Rarely,Informative content;,Rarely,Not sure,Through social media advertisements;,3 (Not sure),Rarely,Discounts or promotions offered;,Neutral,Nil,Nil
140,6/5/24 8:18:10,6/5/24 8:25:48,anonymous,,Female,18-24,Full-time,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Clear and informative content,Once a week,Social media platforms,Sometimes,Strongly Agree,Yes,3,Occasionally,Appealing visuals and designs;,Often,Superior,Through social media advertisements;,4 (Satisfied),Occasionally,Brand reputation;,Unlikely,Family tech bundles ,Do more marketing 
141,6/5/24 8:25:19,6/5/24 8:42:44,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Never,Promotional offers;,Sometimes,Similar,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Discounts or promotions offered;,Very unlikely,None,Focus on promoting the solutions 
142,6/5/24 9:57:53,6/5/24 10:27:27,anonymous,,Male,18-24,Student,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Always,Strongly Agree,No,1,Rarely,"Interactive features (polls, quizzes, etc.);",Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Reliability of service;,Likely,Idk,Good publicity 
143,6/5/24 10:34:49,6/5/24 10:38:59,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Rarely,"Interactive features (polls, quizzes, etc.);",Rarely,Similar,Through social media advertisements;,3 (Not sure),Never,Discounts or promotions offered;,Very likely,"I don’t know about GAMP technology, I’ll find out about them and probably fill again ",I don’t know yet 
144,6/5/24 11:04:45,6/5/24 11:13:31,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,3,Rarely,Appealing visuals and designs;,Often,Not sure,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;,Neutral,Not really ,To Improve on creating awareness 
145,6/5/24 11:23:02,6/5/24 11:28:02,anonymous,,Female,18-24,Unemployed,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,1,Occasionally,Wide online reach;,Sometimes,Not sure,Through social media advertisements;,3 (Not sure),Occasionally,Brand reputation;,Neutral,None,None
146,6/5/24 12:41:54,6/5/24 12:44:52,anonymous,,Male,18-24,Full-time,Bachelor's degree,"?100,001 - ?200,000",Expert (Tech/Gadget sales) platforms;,"Yes, I have",Yes,Clear and informative content,A few times a week,Social media platforms,Rarely,Neutral,No,4,Rarely,Informative content;,Often,Similar,Through recommendations from friends or family;,4 (Satisfied),Occasionally,Reliability of service;,Likely,None,Satisfied 
147,6/5/24 13:52:25,6/5/24 13:55:36,anonymous,,Male,25-34,Student,Bachelor's degree,"Above ?500,000",Expert (Tech/Gadget sales) platforms;,"No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,3,Rarely,Informative content;,Often,Similar,Through advertising on websites;,3 (Not sure),Rarely,Brand reputation;,Neutral,No,More Brand awareness marketing 
148,6/5/24 15:45:59,6/5/24 15:50:40,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Once a day,Social media platforms,Sometimes,Neutral,No,4,Occasionally,Appealing visuals and designs;,Sometimes,Similar,Through recommendations from friends or family;,3 (Not sure),Occasionally,Credibility of digital marketing campaigns;,Neutral,Home services ,Constant ads on social media 
149,6/5/24 16:07:48,6/5/24 16:15:34,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,1,Never,Wide online reach;,Rarely,Not sure,Through search engine results;,3 (Not sure),Never,Quality of service;Reliability of service;Credibility of digital marketing campaigns;Discounts or promotions offered;Customer service experience;Brand reputation;Convenience of booking or purchasing process;,Neutral,I don't know anything about this app,I have never used this before 
150,6/5/24 16:24:33,6/5/24 16:29:27,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Ease of booking or purchasing process,A few times a week,Social media platforms,Sometimes,Neutral,No,5,Never,Informative content;,Always,Not sure,Through social media advertisements;,4 (Satisfied),Occasionally,Quality of service;Reliability of service;Credibility of digital marketing campaigns;Customer service experience;,Unlikely,None,Wider Reach
151,6/5/24 17:06:07,6/5/24 17:11:46,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;Advertising on Websites;Expert (Tech/Gadget sales) platforms;WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,3,Rarely,Promotional offers;Informative content;Company credibility;,Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Rarely,Brand reputation;,Neutral,Don't know,Don't know
152,6/5/24 17:58:18,6/5/24 18:02:06,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000",WhatsApp/Telegram/Discord communities;,"No, I have not",No,None of the above,Rarely or Never,WhatsApp/Telegram/Discord Communities,Rarely,Neutral,No,1,Rarely,Company credibility;,Rarely,Not sure,Through recommendations from friends or family;,3 (Not sure),Rarely,Quality of service;Brand reputation;,Likely,None,Better outreach and publicity
153,6/5/24 17:54:20,6/5/24 18:13:44,anonymous,,Male,18-24,Full-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Never,Wide online reach;,Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Occasionally,Quality of service;Credibility of digital marketing campaigns;Brand reputation;Customer service experience;Discounts or promotions offered;Convenience of booking or purchasing process;Reliability of service;,Neutral,Not sure ,Not sure 
154,6/5/24 18:24:58,6/5/24 18:29:58,anonymous,,Male,25-34,Student,High school or equivalent,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,2,Never,Informative content;,Sometimes,Similar,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;Reliability of service;Brand reputation;Discounts or promotions offered;,Neutral,Not sure,Nothing really
155,6/5/24 18:31:54,6/5/24 18:34:30,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,4,Never,Promotional offers;,Sometimes,Similar,"Through offline advertising (billboards, flyers, etc.);",3 (Not sure),Occasionally,Credibility of digital marketing campaigns;,Likely,None,I don't know yet
156,6/5/24 18:32:56,6/5/24 18:36:26,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Disagree,No,1,Never,Promotional offers;,Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,1 (Very Dissatisfied),Never,Discounts or promotions offered;,Very likely,Never heard about your service,I am just hearing about you for the first time
157,6/5/24 18:30:27,6/5/24 18:36:33,anonymous,,Male,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",Yes,Appealing offers or discounts,Rarely or Never,Search engines,Never,Neutral,No,1,Never,Company credibility;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Brand reputation;,Neutral,No idea,Never heard of GAMP
158,6/5/24 18:27:41,6/5/24 18:36:46,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Never,Strongly Agree,No,5,Always,Promotional offers;,Sometimes,Inferior,Through WhatsApp/Telegram/Discord communities;,5 (Very Satisfied),Never,Reliability of service;,Neutral,not any,can't think of any way right now
159,6/5/24 18:34:29,6/5/24 18:41:08,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Advertising on Websites;","Yes, I have",Yes,None of the above,A few times a week,Social media platforms,Sometimes,Agree,No,3,Occasionally,Informative content;Appealing visuals and designs;,Sometimes,Similar,Through social media advertisements;Through expert (tech/gadget sales) platforms;,3 (Not sure),Rarely,Credibility of digital marketing campaigns;Discounts or promotions offered;,Neutral,None ,Stay consistent and never lose quality of service 
